Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
832,41,A,12/08/2020 22:56,13/08/2020 14:52,TRUE,Pilot,Class A Heli Struct Sys Tech
935,44,B,12/08/2020 23:11,13/08/2020 1:26,TRUE,Pilot,Class A Officer
842,75,G,13/08/2020 11:14,13/08/2020 11:18,TRUE,Class A Armament Tech,Class A Armament Tech
828,74,G,13/08/2020 11:54,13/08/2020 11:55,FALSE,Class A Armament Tech,Class A Armament Tech
941,74,P,13/08/2020 13:39,13/08/2020 17:41,TRUE,Class A Heli Struct Sys Tech,Class B Avionics Tech
828,90,A,13/08/2020 13:40,13/08/2020 17:05,TRUE,Class A Heli Struct Sys Tech,Class B Flight Control Tech
820,75,A,13/08/2020 15:36,17/08/2020 8:34,TRUE,Class A Armament Tech,Class A Armament Tech
834,42,A,13/08/2020 15:40,16/08/2020 16:41,TRUE,Pilot,Class A Class A Electricity Tech
966,76,F,13/08/2020 17:46,13/08/2020 20:08,TRUE,Class B Avionics Tech,Class B Structurer Tech
910,44,A,14/08/2020 13:38,14/08/2020 13:39,TRUE,Class A Electricity Tech,Class A Electricity Tech
815,44,A,14/08/2020 13:56,14/08/2020 13:57,TRUE,Class A Electricity Tech,Class A Electricity Tech
842,90,A,16/08/2020 8:06,16/08/2020 8:07,TRUE,Class B Flight Control Tech,Class B Flight Control Tech
801,11,M,16/08/2020 11:09,16/08/2020 16:27,TRUE,Class A Tech,Class B Avionics Tech
845,49,A,16/08/2020 11:14,16/08/2020 11:15,TRUE,Class A Electricity Tech,Class A Electricity Tech
910,43,C,16/08/2020 12:11,16/08/2020 17:25,TRUE,Pilot,Class B Avionics Tech
910,13,E,16/08/2020 12:11,16/08/2020 15:05,TRUE,Pilot,Class A Tech
801,15,A,16/08/2020 12:33,16/08/2020 13:26,TRUE,Class A Tech,Class B Structurer Tech
966,11,G,16/08/2020 13:14,16/08/2020 13:15,TRUE,Class B Structurer Tech,Class B Structurer Tech
966,44,A,16/08/2020 14:56,16/08/2020 15:26,TRUE,Class A Electricity Tech,Class A Electricity Tech
806,15,A,16/08/2020 15:15,24/08/2020 16:02,TRUE,Class B Mechanic,Class A Heli Struct Sys Tech
834,13,C,16/08/2020 16:45,16/08/2020 16:56,TRUE,Class A Electricity Tech,Class A Tech
